"","Anon.Student.Id","X","Condition","hints_req","num_errors","minSpent","deltaErrors","intrcpErrors","deltaHints","intrcpHints","Inc..Cor","Inc..Hint","Inc..Inc","NumBOH","firstHintGeom","hintsGeom","errorsGeom","stubbornGeom","numErrors1","numErrors2","numErrors3","numErrors4","numHints1","numHints2","numHints3","numHints4","steptime1","steptime2","steptime3","steptime4","firstHint1","firstHint2","firstHint3","firstHint4"
"1","Stu_0219136de66a5f3a0db28b2dd02a3dda",1,"moderate",0.5,2.97321428571429,1.18630952380952,-0.0113651894625346,3.61534749034749,-0.00285304267605153,0.661196911196911,0.678374666541612,0.0562777638958299,0.265347569562558,0.0446428571428571,0.2,0.405405405405405,0.0903614457831325,0.333333333333333,112,86,68,36,8,7,21,8,2686,2150,1866,4392,6,3,5,2
"2","Stu_029eb9f0cdfed76e9886909ffa3204c5",2,"single",0.100917431192661,3.10091743119266,1.04204892966361,0.0079047354276712,2.66615698267074,-0.0020758039106663,0.215086646279307,0.734193197800793,0.0106348293057154,0.255171972893492,0,0.363636363636364,0.731707317073171,0.0817438692098093,0.416666666666667,82,75,108,72,4,4,1,2,1932,2105,1688,6038,4,1,1,1
"3","Stu_02ffd6d9e6cec505aff1d197490d4516",3,"interleaved",3.70873786407767,3.35922330097087,1.01067961165049,-0.0194614066687168,4.37121644774415,0.00347054430435355,3.53797829811536,0.468827889282435,0.384292835591537,0.146879275126028,0.16504854368932,0.0588235294117647,0.0946372239747634,0.0884955752212389,0.0821917808219178,97,81,66,65,80,103,83,21,2164,1720,1295,7080,41,19,3,1
"4","Stu_0326178080208c048588af537814223c",4,"single",0.0689655172413793,2.16091954022989,9.69578544061302,-0.0432674783115842,4.06468858593959,-0.00269738280965226,0.187650360866079,0.749213697824809,0.0125220458553792,0.238264256319812,0,0.571428571428571,0.833333333333333,0.138888888888889,0.25,50,39,48,49,3,2,1,0,1504,42689,5521,3066,1,2,0,0
"5","Stu_03663f81703974bda3196288bbf66b81",5,"increased",0.955752212389381,3.63716814159292,1.4382005899705,-0.000341007385720929,3.65660556257901,0.0115609821012709,0.296776232616941,0.59098688452621,0.0999345847660454,0.309078530707744,0.0265486725663717,0.114285714285714,0.236220472440945,0.069284064665127,0.219512195121951,108,108,109,78,13,33,33,18,2908,2536,2508,6903,7,11,12,1
"6","Stu_03c2835b10aaf0656553c50c1e93f9b6",6,"moderate",3.07142857142857,2.97321428571429,1.29300595238095,0.000995148119041931,2.91698841698842,-0.000546690812177536,3.1023166023166,0.450913900913901,0.390941674812643,0.158144424273457,0.267857142857143,0.0533333333333333,0.106007067137809,0.0892857142857143,0.0853658536585366,108,72,69,57,69,96,59,29,2669,2640,1980,5259,48,17,5,1
"7","Stu_05e8954ca1a8c3a12436eca6835a621d",7,"moderate",0,1.14563106796116,3.50695792880259,-0.0148157097043448,1.91604797258709,0,0,0.829888551165147,0,0.170111448834853,0,1,1,0.206896551724138,NA,35,30,30,20,0,0,0,0,3630,11160,4859,3744,0,0,0,0
"8","Stu_07028f34082e2d4088498ab7f7cad6dd",8,"increased",1.30188679245283,3.4622641509434,1.61336477987421,0.0278660855984079,1.97142857142857,0.00556213315867699,1.00431266846361,0.65000290258911,0.0792008757525999,0.270796221658291,0.0188679245283019,0.133333333333333,0.192307692307692,0.078125,0.235294117647059,95,85,101,73,25,32,50,19,4219,2564,2117,4724,10,7,9,0
"9","Stu_0769b9457a7a842c8b2d35ff3ffdec1e",9,"increased",0.276785714285714,2.17857142857143,1.075,-0.0168790788259815,3.13223938223938,0.00858048313800525,-0.208011583011582,0.778238317238317,0.0355555555555556,0.186206127206127,0.00892857142857143,0.333333333333333,0.482758620689655,0.103321033210332,0.384615384615385,75,70,61,37,3,6,14,7,2102,2033,2010,4745,1,4,3,0
"10","Stu_07fd78dd83d1ec46bf245b362819060b",10,"interleaved",1.78761061946903,3.56637168141593,1.1834808259587,-0.0368371149111717,5.66608723135271,-0.0155033601703373,2.67130214917825,0.579470674001924,0.144494423400673,0.276034902597403,0.0265486725663717,0.0952380952380952,0.149253731343284,0.0705882352941176,0.173913043478261,116,108,92,79,46,44,76,5,2859,2315,1820,5228,22,10,6,0
"11","Stu_08362a13568069b25224a4db8fe7b4de",11,"increased",0.745454545454545,4.41818181818182,3.51318181818182,0.00678944165182701,4.04136780650542,0.0257331560083854,-0.682735613010842,0.626704448198855,0.0403895336928239,0.332906018108321,0.0454545454545455,0.235294117647059,0.352941176470588,0.0623700623700624,0.347826086956522,134,121,115,81,5,28,15,7,2817,8398,10760,6738,3,9,1,0
"12","Stu_086041242bb397f893ec9d1d8bd7b51e",12,"interleaved",1.44642857142857,2.53571428571429,3.50193452380953,-0.0225424539583832,3.80936293436294,-0.0227474630129497,2.73166023166023,0.621146842575414,0.142626949769807,0.236226207654779,0.0625,0.121212121212121,0.176470588235294,0.0980392156862745,0.216216216216216,91,76,63,46,29,48,48,15,3033,16523,2609,5209,17,8,4,0
"13","Stu_08d8c87c555e0637063113ccde57c63f",13,"blocked",1.43,2.94,5.28983333333333,0.0417161716171617,0.833333333333333,0.0220762076207621,0.315151515151515,0.625558950853068,0.0956998556998557,0.278741193447076,0.15,0.142857142857143,0.227272727272727,0.101351351351351,0.25,72,75,82,37,30,40,29,3,1876,11450,11028,2202,12,8,4,0
